episode,score,mean_score,epsilon,loss
621,0,0.0000,0.6957,0.022249
622,0,0.0000,0.6952,0.009964
623,0,0.0000,0.6947,0.005338
624,0,0.0000,0.6942,0.012927
625,0,0.0000,0.6937,0.006240
626,0,0.0000,0.6933,0.005666
627,0,0.0000,0.6928,0.032139
628,0,0.0000,0.6923,0.007474
629,0,0.0000,0.6918,0.013067
630,0,0.0000,0.6913,0.032884
631,0,0.0000,0.6908,0.006807
632,0,0.0000,0.6903,0.010393
633,0,0.0000,0.6898,0.007822
634,0,0.0000,0.6893,0.017165
635,0,0.0000,0.6888,0.009254
636,0,0.0000,0.6884,0.013706
637,0,0.0000,0.6879,0.008097
638,0,0.0000,0.6874,0.015042
639,0,0.0000,0.6869,0.015163
640,0,0.0000,0.6864,0.031012
641,0,0.0000,0.6859,0.007678
642,0,0.0000,0.6854,0.030137
643,0,0.0000,0.6849,0.005857
644,0,0.0000,0.6844,0.007253
645,0,0.0000,0.6840,0.017475
646,0,0.0000,0.6835,0.006115
647,0,0.0000,0.6830,0.012460
648,0,0.0000,0.6825,0.007540
649,0,0.0000,0.6820,0.006185
650,0,0.0000,0.6815,0.009093
651,0,0.0000,0.6810,0.008178
652,0,0.0000,0.6805,0.006654
653,0,0.0000,0.6800,0.008886
654,0,0.0000,0.6795,0.008654
655,0,0.0000,0.6790,0.005260
656,0,0.0000,0.6786,0.005458
657,0,0.0000,0.6781,0.008109
658,0,0.0000,0.6776,0.010066
659,0,0.0000,0.6771,0.004627
660,0,0.0000,0.6766,0.032948
661,0,0.0000,0.6761,0.008695
662,0,0.0000,0.6756,0.005527
663,0,0.0000,0.6751,0.019387
664,0,0.0000,0.6746,0.009228
665,0,0.0000,0.6742,0.012128
666,0,0.0000,0.6737,0.009383
667,0,0.0000,0.6732,0.006395
668,0,0.0000,0.6727,0.006785
669,0,0.0000,0.6722,0.007620
670,0,0.0000,0.6717,0.011476
671,0,0.0000,0.6712,0.007007
672,0,0.0000,0.6707,0.005728
673,0,0.0000,0.6702,0.007929
674,0,0.0000,0.6697,0.008373
675,0,0.0000,0.6693,0.006515
676,0,0.0000,0.6688,0.007148
677,0,0.0000,0.6683,0.008304
678,0,0.0000,0.6678,0.006290
679,0,0.0000,0.6673,0.006450
680,0,0.0000,0.6668,0.009688
681,0,0.0000,0.6663,0.026883
682,0,0.0000,0.6658,0.008714
683,0,0.0000,0.6653,0.004879
684,0,0.0000,0.6648,0.007939
685,0,0.0000,0.6643,0.007263
686,0,0.0000,0.6639,0.019091
687,0,0.0000,0.6634,0.009104
688,0,0.0000,0.6629,0.007962
689,0,0.0000,0.6624,0.007429
690,0,0.0000,0.6619,0.029437
691,0,0.0000,0.6614,0.029527
692,0,0.0000,0.6609,0.005378
693,0,0.0000,0.6604,0.016463
694,0,0.0000,0.6599,0.009261
695,0,0.0000,0.6595,0.008529
696,0,0.0000,0.6590,0.012078
697,0,0.0000,0.6585,0.011827
698,0,0.0000,0.6580,0.006640
699,0,0.0000,0.6575,0.006583
700,0,0.0000,0.6570,0.009875
701,0,0.0000,0.6565,0.008845
702,0,0.0000,0.6560,0.006867
703,0,0.0000,0.6555,0.009125
704,0,0.0000,0.6550,0.008428
705,0,0.0000,0.6545,0.006240
706,0,0.0000,0.6541,0.004614
707,0,0.0000,0.6536,0.010223
708,0,0.0000,0.6531,0.019505
709,0,0.0000,0.6526,0.006085
710,0,0.0000,0.6521,0.034868
711,0,0.0000,0.6516,0.008002
712,0,0.0000,0.6511,0.007833
713,0,0.0000,0.6506,0.013127
714,0,0.0000,0.6501,0.005320
715,0,0.0000,0.6497,0.008658
716,0,0.0000,0.6492,0.012759
717,0,0.0000,0.6487,0.009532
718,0,0.0000,0.6482,0.010450
719,0,0.0000,0.6477,0.026806
720,0,0.0000,0.6472,0.011893
721,0,0.0000,0.6467,0.009432
722,0,0.0000,0.6462,0.008957
723,0,0.0000,0.6457,0.011895
724,0,0.0000,0.6452,0.016901
725,0,0.0000,0.6447,0.022607
726,0,0.0000,0.6443,0.007863
727,0,0.0000,0.6438,0.009495
728,0,0.0000,0.6433,0.011940
729,0,0.0000,0.6428,0.139290
730,0,0.0000,0.6423,0.012947
731,0,0.0000,0.6418,0.015539
732,0,0.0000,0.6413,0.008520
733,0,0.0000,0.6408,0.005559
